image_id,source,prompt,evaluation_seed
000000078748,coco-30k,A group of motorcycles on display for a crowd.,99949
000000267684,coco-30k,Two people with skis are skiing on the snow.,70635
000000096625,coco-30k,A man is performing a trick on skis.,93109
000000236874,coco-30k,A young man wearing a catchers mitt on top of a baseball field.,20480
000000411201,coco-30k,A large two level bus near a tall structure.,36346
000000033753,coco-30k,A wooden park bench with a remote control on top of it.,48381
000000421370,coco-30k,A man on a motorcycle going down the street.,39841
000000548538,coco-30k,A black train car with a group of men standing on the back of it.,48314
000000402027,coco-30k,A giraffe standing next to some trees in a field.,17963
000000295420,coco-30k,A blue truck drives down a narrow street.,94823
000000145562,coco-30k,a small toys with so many people in it,19101
000000392967,coco-30k,A baseball player in a white and black uniform holds onto a black bat as a ball is in mid air in front of him.,52181
000000052661,coco-30k,Traffic on a dock next to a moored sailing ship.,9758
000000320020,coco-30k,A small black and white dog with the wind blowing through it's hair.,50623
000000472610,coco-30k,A woman is posing for a picture with her dog in front of cows.,81860
000000292236,coco-30k,A couple of men standing next to train tracks.,4817
000000419848,coco-30k,A hot dog and a bowl on a table.,30198
000000268375,coco-30k,A herd of gray elephants standing next to each other on a block of cement.,24653
000000161925,coco-30k,two women are cutting and preparing a pizza,14281
000000334077,coco-30k,A man bending over a pile of umbrellas sitting on a sidewalk.,85308
000000493613,coco-30k,A pair of shoes flips over a skateboard on a road. ,40387
000000541223,coco-30k,a glass building with a plane coming out of it ,65473
000000249325,coco-30k,A man sitting on a bench next to pigeons holding a news paper.,8104
000000499428,coco-30k,A large red double decker bus traveling down a road.,50762
000000436511,coco-30k,Tourists watching a man running with horned sheep down a dirt road,16090
000000042279,coco-30k,Two zebra standing next to each other near a forest.,25948
000000434786,coco-30k,an image of a man with a cigarette in his mouth,93471
000000358629,coco-30k,A man in the kitchen is doing his job. ,83555
000000346717,coco-30k,A man flying through the air while riding a skateboard.,85847
000000431967,coco-30k,A white bathroom sink sitting under a window.,75371
000000303672,coco-30k,Three different electronic devices sitting on a brown table.,92082
000000397318,coco-30k,A group of people sitting at a table with plates and soda.,75338
000000053774,coco-30k,skateboarder who is about to land from a jump of some type,79901
000000064909,coco-30k,A young man wears a fake mustache in a kitchen decorated for the New Orleans Saints.,67052
000000208002,coco-30k,A horse and colt in tall grass near a house.,61510
000000190463,coco-30k,A man riding a skateboard near a ramp.,86555
000000570242,coco-30k,A close up of a house phone showing only the numbers in focus.,23572
000000107244,coco-30k,a street sign on a road near a building,63584
000000362971,coco-30k,A pile of bunches of bananas not fully ripe.,6489
000000195470,coco-30k,Group of white sheep walking in a field of grass together. ,88708
000000044604,coco-30k,a tiled floor with a trash can and a urinal sitting inside of it ,27297
000000518586,coco-30k,A train drives along railroad tracks while a person walks between the tracks.,49380
000000267127,coco-30k,A man riding a skateboard down a street.,2697
000000531414,coco-30k,A black cat staring into the distance in a room,54969
000000258112,coco-30k,A store with a taxi and bus parked out front,83220
000000361180,coco-30k,A brown bear walking with rocks in the background.,15492
000000130663,coco-30k,A group of people standing outside of a blue train.,48737
000000475407,coco-30k,A man riding on the back of a red motorcycle.,35041
